shs_strand,tvl_strand,course,field_category,interest_research,interest_arts,interest_policy,interest_design,interest_tech,interest_building,interest_nature,interest_detail,interest_leading,interest_helping,interest_tools,interest_analysis,interest_writing,interest_performing,interest_health_care,interest_finance,interest_sales,interest_education,interest_management,interest_marketing,interest_performing_arts,interest_counseling,interest_social_service,interest_legal,interest_business,ability_logic,ability_creativity,ability_comm,ability_practical,ability_teamwork,ability_spatial,ability_numerical,ability_abstract_reason,ability_verbal_comp,ability_clerical,ability_mech_reason,ability_organization,ability_detailcheck,ability_comprehension,ability_problem_solve,dmgt_resilience,dmgt_persistence,dmgt_self_manage,dmgt_patience,dmgt_flexibility,dmgt_integrity,dmgt_stress_manage,dmgt_initiative,ability_comm_written,ability_negotiation
ABM,none,Human Resource Management,BUS,1,3,2,3,1,3,1,5,5,3,1,1,1,3,3,5,2,3,5,1,1,1,1,2,5,4,1,3,3,3,2,5,3,3,2,1,4,2,1,1,2,3,3,1,3,4,1,2,2,4
GAS,none,Theatre Arts,MEDIA,3,5,3,5,2,1,1,1,2,3,2,3,5,2,3,3,2,3,3,4,4,2,3,1,1,2,5,5,3,3,1,2,3,2,2,3,2,3,3,3,2,2,2,3,1,1,1,4,5,1
HUMSS,none,Development Studies,SOCIAL,4,1,5,2,1,3,3,3,2,5,2,1,2,3,2,1,3,2,2,3,2,1,3,3,1,4,3,5,3,5,3,2,2,4,2,1,1,1,4,2,2,1,1,2,4,3,2,1,2,1
GAS,none,Transportation Management,HOSP,1,1,1,2,3,3,3,2,2,5,2,2,2,2,1,2,1,2,4,3,2,1,1,1,3,1,2,5,4,5,1,2,3,3,1,2,5,3,2,2,2,1,2,1,3,3,5,2,1,1
GAS,none,Film,MEDIA,2,5,2,5,1,3,2,1,3,1,3,1,5,3,3,2,3,1,2,5,5,1,2,1,2,1,5,5,2,4,1,3,3,3,3,1,3,1,2,3,2,1,2,3,3,2,3,4,4,3
STEM,none,Civil Engineering,ENG,5,3,1,3,4,5,2,2,3,3,4,2,1,2,2,3,3,2,1,2,2,3,2,3,2,5,3,3,5,5,5,5,1,1,2,5,3,1,3,2,2,2,1,2,2,1,3,1,1,1
HUMSS,none,Early Childhood Education,EDUC,3,1,3,3,3,3,3,1,1,4,1,2,2,2,3,1,3,5,2,1,2,4,3,2,1,2,4,5,2,5,2,1,2,2,3,2,1,1,1,1,3,2,5,5,1,2,2,2,3,1
GAS,none,"Hotel, Restaurant & Institutional Management",HOSP,1,3,3,2,2,3,3,3,2,5,3,2,3,1,2,3,2,2,4,2,3,1,2,2,4,1,1,5,4,5,2,2,2,2,3,1,5,1,2,2,1,3,3,2,2,3,5,1,2,1
STEM,none,Chemical Engineering,ENG,5,3,3,3,3,5,3,3,3,2,5,3,2,1,2,1,2,2,2,1,3,3,2,3,3,5,3,3,5,5,4,4,1,2,1,5,3,2,1,1,2,1,3,1,2,2,1,3,1,3
GAS,none,Visual Communication,MEDIA,1,5,1,5,2,3,2,3,3,2,3,1,5,1,1,1,3,2,2,5,4,3,3,3,2,3,5,5,3,4,1,1,1,2,3,3,3,1,1,2,2,3,3,2,3,2,3,5,4,1
HUMSS,none,Philippine Studies,SOCIAL,4,2,5,2,2,3,1,2,2,4,1,1,1,3,2,2,2,2,1,2,2,1,1,4,1,4,3,5,2,5,2,2,1,5,1,1,1,2,4,2,1,1,2,2,4,1,1,3,3,2
HUMSS,none,Philippine Studies,SOCIAL,4,2,5,2,3,2,1,3,3,5,2,2,3,2,3,2,3,1,3,1,3,3,1,3,2,3,1,5,1,5,1,1,3,5,3,1,1,1,5,3,1,1,1,2,4,3,2,2,1,1
TVL,ICT,Voice,APPLIED,1,3,2,2,5,5,3,2,2,2,5,3,1,2,1,1,3,3,1,3,3,3,3,3,3,4,1,3,5,2,5,3,1,3,1,5,2,1,1,3,3,1,1,3,3,2,2,3,2,3
STEM,none,Marine Biology,HEALTH,4,3,2,1,3,3,3,2,2,5,2,2,2,2,5,2,2,3,3,1,3,2,3,2,3,5,1,3,4,1,2,2,2,5,3,3,1,5,2,3,4,2,2,5,3,1,3,3,2,2
STEM,none,Mechatronics Technology,ENG,5,3,3,3,3,5,1,1,3,1,4,1,3,1,2,3,2,3,3,3,1,3,2,2,3,5,1,3,5,5,4,5,3,3,2,5,1,1,1,3,3,2,2,3,1,1,3,3,1,1
GAS,none,Transportation Management,HOSP,3,1,2,3,2,2,1,2,3,5,1,2,3,2,2,3,3,3,4,3,1,3,1,3,4,3,2,5,5,5,3,1,3,1,1,3,5,2,1,2,3,1,2,2,3,2,5,2,3,3
STEM,none,Data Science,TECH,5,2,3,4,5,4,1,1,1,1,1,5,3,2,2,2,3,1,3,2,1,1,3,2,3,5,2,3,1,2,2,5,4,1,2,2,2,5,2,2,1,5,2,2,3,3,2,3,2,2
GAS,none,Malikhaang Pagsulat (Creative Writing in Filipino),MEDIA,3,5,3,5,1,1,2,3,1,2,2,2,5,3,1,3,1,2,1,4,4,1,3,2,3,1,5,5,2,3,3,3,2,2,3,1,2,2,1,3,3,3,2,2,3,1,3,5,4,3
HUMSS,none,Behavioral Sciences,SOCIAL,5,2,5,3,2,3,3,3,2,5,1,3,2,2,1,3,3,3,3,1,3,2,1,3,3,4,3,5,2,5,3,1,3,5,1,2,2,1,5,2,2,2,3,3,5,3,3,3,2,1
GAS,none,Art Studies / Fine Arts,MEDIA,3,5,2,5,1,1,3,3,1,2,1,1,5,2,2,1,1,2,2,5,4,1,3,3,1,3,5,5,3,3,3,3,3,3,2,2,2,3,2,3,2,1,2,1,1,1,3,4,5,3
TVL,ICT,Electrical Installation,APPLIED,1,3,3,2,5,5,4,1,1,2,5,3,3,3,1,1,2,2,3,2,1,2,3,3,3,4,3,3,5,3,5,1,3,3,1,5,2,1,1,3,3,2,1,2,1,1,1,3,3,3
GAS,none,Art History,MEDIA,1,5,1,5,1,1,1,2,2,1,3,2,5,3,3,1,2,3,1,5,4,1,1,1,2,2,5,5,2,3,3,2,1,2,3,3,3,3,1,2,3,3,3,3,1,3,1,4,4,3
GAS,none,Malikhaang Pagsulat (Creative Writing in Filipino),MEDIA,3,5,2,5,3,2,2,2,2,1,2,1,5,3,2,2,1,2,1,4,4,3,3,2,1,2,5,5,1,4,2,1,2,3,1,3,2,1,1,3,2,1,1,3,3,2,2,4,4,1
TVL,ICT,Electrical Installation,APPLIED,1,2,2,3,4,5,4,3,2,2,4,2,1,2,3,2,3,3,3,3,3,2,3,3,1,4,1,2,5,3,5,3,2,3,2,5,1,2,1,2,2,2,3,2,1,1,1,2,3,2
STEM,none,Management Engineering,ENG,4,3,1,3,3,5,1,1,2,3,4,3,3,2,1,2,1,1,1,3,1,2,3,2,2,5,2,1,5,4,5,4,2,2,2,5,2,1,1,1,3,1,3,2,3,3,2,1,1,1
STEM,none,Management Engineering,ENG,5,2,1,2,3,5,3,2,2,3,5,3,1,1,1,1,1,1,2,2,1,2,1,1,3,5,1,3,5,5,4,4,3,2,3,5,2,2,1,3,1,2,2,2,2,1,2,1,1,1
STEM,none,Chemical Engineering,ENG,4,3,2,2,4,5,3,2,3,1,4,1,3,1,3,2,3,2,2,3,1,1,2,3,2,5,3,2,5,5,5,4,3,3,2,5,1,2,1,1,1,2,1,1,1,2,1,1,1,3
STEM,none,Applied Statistics,TECH,5,1,3,4,5,3,3,3,2,1,3,5,3,3,3,1,1,1,3,3,2,2,1,2,3,5,1,2,3,2,1,5,5,1,1,3,1,4,2,1,1,4,2,2,2,2,1,2,3,2
STEM,none,Computer Engineering,ENG,5,1,3,2,4,5,3,1,1,3,5,2,3,2,1,3,1,3,2,1,3,3,1,1,1,5,1,2,5,4,4,5,3,1,3,5,3,1,2,3,1,3,3,1,2,2,3,3,3,1
STEM,none,Technical Communication,TECH,5,3,2,4,5,4,1,1,2,1,2,5,1,1,2,1,1,2,2,1,3,2,2,1,1,5,1,2,3,3,3,4,5,3,2,1,1,5,3,1,1,5,2,2,2,2,1,3,2,1
STEM,none,Industrial Engineering,ENG,4,3,1,3,3,5,2,3,3,3,5,3,2,2,2,1,1,1,3,1,2,1,2,3,2,5,3,3,5,5,4,4,1,3,1,5,1,2,3,3,2,2,3,2,3,3,2,1,2,1
STEM,none,Technical Communication,TECH,4,3,3,4,5,3,2,2,1,3,1,4,1,1,3,1,1,1,1,1,2,3,1,1,1,5,3,1,1,1,2,5,4,1,2,2,3,4,1,2,2,5,3,2,3,2,3,3,2,3
STEM,none,Technical Communication,TECH,5,3,2,4,5,4,2,2,3,1,2,5,3,3,2,1,2,2,2,2,3,3,2,1,3,5,1,3,3,1,3,5,5,1,2,3,2,5,3,3,3,5,1,1,2,3,3,3,3,3
STEM,none,Information Security,TECH,4,3,2,3,5,4,3,1,2,1,1,5,2,2,3,1,2,2,1,2,2,2,1,1,3,5,1,2,3,2,3,4,4,3,3,3,2,4,3,1,2,4,2,2,2,1,3,1,1,1
TVL,ICT,Landscape Architecture,APPLIED,2,3,2,3,4,5,3,1,1,1,5,3,3,1,3,2,2,3,1,1,1,3,3,3,3,3,2,1,5,2,4,1,3,2,2,5,1,2,1,1,1,3,3,1,1,2,2,3,3,2
HUMSS,none,Secondary Education (BSEd),EDUC,1,3,3,1,1,2,2,1,1,4,1,2,1,3,3,2,2,5,1,2,3,4,1,1,3,3,3,5,3,5,2,1,3,1,3,2,2,2,1,2,2,3,4,5,3,3,3,3,1,2
STEM,none,Community Nutrition,HEALTH,4,2,3,1,3,2,3,2,2,5,2,2,1,1,5,1,2,3,2,1,3,3,3,3,2,5,2,2,3,2,2,2,3,5,1,2,1,5,2,3,4,2,3,5,1,2,1,1,2,1
STEM,none,Physical Therapy,HEALTH,4,1,1,3,1,1,4,1,1,5,3,1,2,1,5,1,3,2,1,1,2,3,1,2,3,5,2,2,3,1,2,3,1,5,3,1,2,5,1,3,5,3,3,5,1,3,1,2,2,1
STEM,none,Technical Communication,TECH,4,2,2,3,5,4,3,1,3,2,3,5,2,3,2,1,2,2,1,2,2,3,1,3,3,5,3,1,1,1,3,4,5,3,3,2,3,4,1,2,3,4,2,3,2,2,2,1,2,3
HUMSS,none,Physical Education,EDUC,1,3,1,1,3,3,2,3,2,4,1,2,3,1,1,1,1,5,2,2,1,5,3,3,1,2,4,5,2,5,2,2,3,1,2,1,1,2,1,1,3,2,4,5,2,3,3,1,3,3
ABM,none,Marketing Management,BUS,2,2,3,3,3,3,3,5,4,3,1,2,3,2,2,5,1,1,5,2,2,3,3,3,5,4,1,4,1,3,2,5,1,1,3,1,5,2,3,2,3,2,1,2,3,4,1,2,3,4
GAS,none,Transportation Management,HOSP,3,1,3,3,3,1,2,1,2,5,2,1,2,3,2,3,2,1,4,3,1,1,1,2,4,2,1,5,5,5,1,1,3,1,3,2,5,1,2,3,2,2,1,3,3,1,4,2,2,3
STEM,none,Web & Mobile Development,TECH,4,1,2,3,5,4,3,1,2,2,1,5,3,1,2,1,2,1,2,3,3,2,3,3,2,5,2,1,3,1,3,5,4,2,1,3,2,5,1,2,3,4,2,2,3,3,2,3,2,3
HUMSS,none,International Studies,SOCIAL,5,3,5,2,2,1,3,1,3,5,2,3,1,1,2,3,2,3,2,3,2,3,2,4,1,3,3,5,1,4,1,1,1,5,2,3,3,1,5,2,3,1,3,3,4,2,3,2,3,1
HUMSS,none,Political Science,SOCIAL,4,2,5,1,1,3,3,2,1,5,3,1,2,1,2,1,2,3,2,3,2,1,1,3,1,4,2,5,2,5,2,3,3,5,3,3,2,3,5,1,1,1,3,1,4,2,3,1,3,1
HUMSS,none,Political Economy,SOCIAL,5,1,5,2,2,3,2,2,3,5,1,3,2,2,1,1,2,1,1,1,2,3,2,3,2,3,2,5,3,4,3,2,2,4,2,2,3,1,4,2,2,3,3,2,4,2,3,3,3,1
ABM,none,Accountancy,BUS,2,1,1,1,1,2,1,5,4,3,3,2,2,1,1,5,3,2,5,3,3,2,2,1,5,4,2,4,1,2,3,4,3,3,2,2,4,2,3,1,3,1,3,1,2,4,1,2,2,5
ABM,none,Business Economics,BUS,3,2,3,1,1,1,2,4,4,2,1,2,2,2,2,5,1,1,5,1,1,1,3,2,5,5,2,3,2,1,2,4,1,1,3,1,4,2,1,3,3,1,2,2,2,4,2,2,2,5
GAS,none,Speech Communication,MEDIA,1,5,2,5,1,2,1,2,2,1,1,3,5,3,3,2,3,3,3,5,4,3,1,2,1,1,5,5,2,4,2,1,2,2,1,1,2,3,1,3,2,2,3,3,3,1,1,5,4,3
STEM,none,Information Security,TECH,5,1,3,3,5,3,3,3,1,1,1,5,1,3,1,2,3,3,1,3,3,3,1,3,1,5,2,2,2,2,1,5,4,2,3,1,3,5,3,2,2,5,1,3,2,1,1,3,1,1
ABM,none,Cooperatives,BUS,2,2,2,1,2,2,1,4,4,3,3,3,3,1,1,5,3,3,5,3,3,1,2,1,5,5,3,4,3,3,1,4,1,2,2,1,5,3,2,2,3,1,3,1,3,4,1,3,1,4
STEM,none,Railway Engineering,ENG,4,3,3,1,4,5,1,2,3,1,5,2,3,3,2,1,3,2,1,3,3,1,3,2,1,5,1,2,5,5,5,5,3,3,3,5,1,2,3,3,3,1,2,2,3,3,2,1,2,3
GAS,none,Communication Research,MEDIA,2,5,3,5,3,3,2,2,3,1,3,2,5,3,3,2,1,1,1,4,4,3,3,1,1,2,5,5,2,3,1,1,3,1,3,1,3,2,2,2,3,3,3,2,2,2,1,4,4,1
ABM,none,Financial Management,BUS,1,1,1,1,1,3,2,4,5,1,3,1,2,2,3,5,3,2,5,1,1,3,2,1,5,5,2,4,1,3,3,4,1,1,1,1,4,2,3,3,3,1,2,1,1,5,1,2,1,4
HUMSS,none,Community Development,PUB,3,1,5,1,3,2,2,1,5,4,2,1,3,3,3,2,1,2,2,1,2,2,5,2,2,5,2,5,1,4,3,2,3,1,1,3,5,3,2,2,3,1,1,3,2,4,3,2,2,1
STEM,none,Molecular Biology & Biotechnology,HEALTH,4,3,1,1,2,1,4,2,1,5,1,2,3,3,5,3,3,3,2,2,2,1,3,2,3,4,1,1,3,3,1,1,2,5,2,3,2,4,2,1,5,3,3,5,2,1,2,2,1,3
STEM,none,Industrial Design,ENG,4,2,3,3,4,5,2,2,3,1,5,1,1,1,1,1,2,1,1,2,2,2,2,2,1,5,3,1,5,4,4,5,2,2,3,5,1,3,1,1,3,3,3,3,2,3,1,3,3,1
STEM,none,Manufacturing Engineering,ENG,4,3,3,1,4,5,1,1,1,1,5,2,2,3,1,2,2,1,1,2,1,2,3,2,1,5,2,2,5,5,5,4,2,2,1,5,3,2,3,1,3,2,1,3,3,1,1,2,1,1
HUMSS,none,Art Education,EDUC,1,1,1,2,3,1,2,1,3,4,2,2,1,3,2,3,3,5,2,3,1,4,1,2,3,3,4,5,3,5,1,2,3,1,3,3,2,3,1,1,3,2,4,5,1,2,2,3,3,2
HUMSS,none,European Languages,SOCIAL,5,1,5,3,2,3,3,2,3,4,3,2,2,2,2,2,2,1,1,3,3,1,3,4,3,3,2,5,2,4,2,2,2,5,1,2,2,2,5,3,3,2,2,1,4,1,3,2,2,2
HUMSS,none,Elementary Education (BEEd),EDUC,3,2,3,3,3,1,3,3,2,5,1,3,2,1,2,1,3,5,1,3,2,5,2,2,3,2,4,5,2,5,2,3,1,3,3,1,3,1,3,1,3,1,4,5,2,1,2,1,1,3
GAS,none,Filipino,MEDIA,2,5,2,5,2,1,3,3,3,1,2,2,5,1,3,2,2,2,1,5,4,1,1,1,3,3,5,5,1,3,3,2,3,2,3,3,3,1,2,2,3,1,3,2,3,2,2,5,4,1
HUMSS,none,Philippine Studies,SOCIAL,4,2,5,3,1,2,3,2,3,4,3,1,1,1,1,3,1,2,1,2,1,3,2,4,1,4,3,5,2,4,2,1,3,5,1,1,3,1,4,1,1,2,3,1,5,1,3,1,3,1
GAS,none,Sculpture,MEDIA,1,5,3,5,2,2,2,1,2,1,2,3,5,1,2,1,1,2,3,5,4,3,2,2,3,3,5,5,1,4,3,2,3,2,2,2,3,2,1,2,3,1,3,3,2,3,2,4,5,1
ABM,none,Financial Management,BUS,1,2,1,1,2,2,3,5,5,3,3,3,1,2,1,5,2,1,5,2,3,3,3,2,5,5,2,4,2,1,2,5,1,3,3,3,4,1,3,2,1,3,2,2,2,5,2,2,3,5
TVL,ICT,Clothing Technology,APPLIED,2,3,2,2,4,5,4,1,2,3,5,2,2,2,1,1,3,2,3,1,2,3,3,3,3,4,2,1,5,1,5,1,3,2,2,5,2,2,3,3,3,3,1,3,3,2,2,2,2,2
STEM,none,Marine Biology,HEALTH,5,3,3,3,3,2,4,1,1,5,2,2,3,3,5,3,2,2,2,1,1,3,3,1,3,4,3,2,3,2,3,2,2,5,3,2,2,4,1,1,5,1,2,5,1,3,1,3,1,2
STEM,none,Energy Engineering,ENG,5,3,1,2,3,5,2,1,3,3,5,2,1,3,1,1,2,1,2,1,1,2,1,3,2,5,1,3,5,4,5,5,3,1,3,5,3,2,1,3,3,1,2,3,3,2,3,1,1,2
HUMSS,none,Library & Information Science,EDUC,1,3,2,2,2,1,2,1,3,5,1,1,2,2,1,1,1,5,3,3,1,5,3,1,3,1,3,5,2,5,3,2,1,3,3,1,3,3,1,1,2,1,4,5,2,1,2,3,1,1
HUMSS,none,Psychology,SOCIAL,5,3,5,1,1,1,1,2,2,5,2,2,1,2,1,3,2,3,1,2,1,3,2,3,1,3,3,5,3,5,2,1,2,5,3,2,2,2,5,2,1,1,2,1,4,3,2,1,2,1
STEM,none,Energy Engineering,ENG,5,3,1,2,4,5,2,2,3,2,5,2,3,2,2,2,1,2,3,2,2,2,2,2,3,5,2,2,5,5,4,4,3,3,2,5,3,1,2,2,1,1,1,3,1,1,2,1,2,1
STEM,none,AI Engineering,TECH,5,2,1,3,5,3,1,3,2,3,2,5,1,2,1,2,2,1,2,1,2,1,1,1,2,5,3,3,2,3,1,4,5,3,3,1,1,4,1,1,3,5,1,3,2,1,3,1,3,2
TVL,ICT,Agriculture,APPLIED,3,2,1,3,4,5,3,1,2,2,5,2,1,3,2,3,3,1,1,1,2,1,1,1,1,3,3,2,5,3,4,2,3,1,2,5,2,2,3,1,3,1,2,2,1,1,3,2,1,2
STEM,none,Mechanical Engineering,ENG,4,2,1,3,4,5,2,1,2,1,5,3,3,1,3,3,2,3,1,3,1,1,3,3,1,5,2,2,5,4,4,4,3,2,3,5,1,3,1,1,2,3,2,1,1,3,1,2,3,2
STEM,none,Information Security,TECH,4,3,3,4,5,3,2,3,2,1,2,4,2,2,2,3,3,2,2,2,3,3,1,1,2,5,1,2,1,3,3,5,5,3,2,3,1,5,3,2,2,4,1,3,2,2,1,3,3,1
TVL,ICT,Agriculture,APPLIED,3,3,2,1,5,5,3,3,2,1,5,2,2,2,3,3,2,1,1,1,3,3,1,3,3,3,3,2,5,3,4,1,3,1,1,5,1,1,3,3,3,3,1,3,2,3,1,1,3,1
STEM,none,Nutrition and Dietetics,HEALTH,4,3,1,3,2,3,4,1,2,5,3,3,2,3,5,2,3,2,1,3,3,3,2,1,2,4,3,2,4,2,3,3,3,4,1,3,1,4,3,2,4,3,3,5,2,2,3,3,3,1
HUMSS,none,International Studies,SOCIAL,4,3,5,1,1,3,3,1,2,4,2,2,3,2,3,3,1,1,2,3,3,3,3,3,1,3,1,5,2,4,1,3,2,5,3,2,1,3,4,2,3,3,3,1,5,1,2,1,2,1
GAS,none,"Hotel, Restaurant & Institutional Management",HOSP,3,3,1,1,3,2,1,2,2,5,3,2,1,3,3,1,2,3,4,3,1,3,2,3,4,3,2,5,5,5,1,1,3,2,1,3,5,3,1,1,3,1,2,3,3,1,4,2,3,3
STEM,none,Metallurgical Engineering,ENG,5,3,2,2,4,5,1,2,1,3,4,3,2,1,1,3,2,3,2,3,3,3,1,1,1,5,2,2,5,4,4,5,3,3,3,5,2,1,1,3,3,1,3,2,3,3,3,3,2,3
HUMSS,none,Philosophy,SOCIAL,4,3,5,2,3,3,2,1,2,4,1,2,2,3,3,1,3,3,1,3,1,2,2,3,2,3,3,5,3,5,1,1,2,5,1,1,2,1,5,2,1,1,3,1,4,2,2,3,1,3
STEM,none,Physics,HEALTH,5,3,1,1,2,1,4,2,3,5,3,2,1,2,5,1,1,2,3,1,3,2,3,1,3,5,3,3,3,1,2,2,2,5,2,2,2,5,3,2,5,3,1,5,2,3,3,3,3,1
STEM,none,Chemical Engineering,ENG,4,2,3,1,4,5,1,3,3,2,5,1,3,1,3,2,1,2,2,2,2,1,1,1,1,5,2,2,5,5,5,5,2,2,3,5,1,1,1,1,2,3,3,2,3,1,3,3,3,1
ABM,none,Business Administration,BUS,2,2,3,3,1,2,2,4,5,3,1,2,2,3,3,5,3,3,5,3,2,3,2,2,5,4,3,3,1,2,3,5,1,2,3,2,4,3,1,3,3,3,2,3,1,5,3,1,2,4
ABM,none,Human Resource Management,BUS,2,3,1,3,2,2,1,4,4,3,1,1,3,2,1,5,2,1,5,3,1,3,2,3,5,5,3,3,3,1,3,5,3,1,1,3,5,2,2,3,1,2,3,3,3,5,3,1,2,5
STEM,none,Management Engineering,ENG,5,1,2,1,4,5,2,3,3,1,5,2,1,1,2,2,2,1,2,2,2,3,2,3,1,5,3,1,5,4,5,4,2,1,2,5,1,1,3,1,2,3,2,1,2,2,3,2,3,2
STEM,none,Geodetic Engineering,ENG,4,3,3,1,4,5,2,2,3,2,4,1,3,2,1,3,3,1,2,2,2,2,2,3,2,5,2,2,5,5,5,4,3,1,1,5,2,3,1,2,3,1,1,1,2,1,3,3,2,2
HUMSS,none,Southeast Asian Studies,SOCIAL,4,1,5,3,3,3,2,1,3,4,1,2,1,2,1,1,1,3,1,3,3,2,3,3,3,3,2,5,2,4,3,3,3,5,2,1,2,2,4,2,3,1,1,3,4,3,3,3,1,2
GAS,none,Art History,MEDIA,3,5,2,5,3,1,3,2,1,3,2,2,5,1,1,1,3,1,3,4,5,1,3,1,1,1,5,5,2,3,3,1,2,1,1,1,3,3,3,2,2,2,1,2,1,1,1,5,4,1
TVL,ICT,Clothing Technology,APPLIED,3,2,2,2,4,5,4,1,1,1,5,1,3,3,3,1,1,3,1,1,2,3,1,1,1,4,2,2,5,2,5,3,2,2,2,5,2,3,3,1,1,1,2,2,3,3,1,3,2,1
STEM,none,Interior Design,ENG,5,1,2,2,3,5,3,2,2,1,5,1,1,3,2,3,1,1,1,3,2,2,1,2,2,5,3,3,5,5,5,5,1,3,1,5,2,3,1,2,2,2,2,2,3,2,1,1,1,2
